原始变量,中文含义,重要性
current_member_type,当前会员类型,0.3817588941010095
user_state,用户状态,0.3309359977973069
active_recency_score,活跃近因得分,0.09779667083046517
visit_recency_score,到店近因得分,0.06017663701810765
A_score,线下活跃度得分,0.031033353504072422
visit_count,到店次数,0.025611702758193893
active_gap,活跃提升空间,0.0217745676093223
stay_hours_total,在馆时长,0.020233174103039535
current_member_price,当前会员价格,0.012582696582168823
run_distance_total,跑步距离,0.0062536624228448304
calorie_total,运动消耗,0.005904266380307668
run_minutes_total,跑步时长,0.005241313412030903
buy_stickiness,购买粘性,0.00020785805177109715
anaerobic_calorie_total,无氧消耗,0.00010925662745856113
pt_bought_before,历史是否买过私教,8.071965733864686e-05
pt_amount,私教消费金额,7.397022379120711e-05
anaerobic_count,无氧训练次数,5.398327294293243e-05
current_member_duration_days,当前会员权益时长,5.248035114909615e-05
pt_potential,私教转化潜力,5.142324472715037e-05
pt_unit_price_est,私教单价估计,2.298636508862516e-05
interact_recency_score,互动近因得分,1.7586704582449443e-05
o2o_strength,线上线下联动强度,1.2410176793066894e-05
pt_sessions_bought,本期私教课时,1.0362307945327636e-05
discount_order_ratio,优惠订单占比,2.136085556482935e-06
S_score,线上互动强度得分,1.14103415247227e-06
pt_order_count,私教订单次数,3.178122973710912e-07
anaerobic_volume,无氧训练量,1.4754254077663123e-07
pt_private_amount,私教课包金额,9.759977057577935e-08
like_given_count,主动点赞数,6.686179916165223e-08
like_received_count,被点赞数,5.903618420742554e-08
post_count,发帖数,3.328824245523406e-08
comment_received_count,被评论数,2.7236997174747658e-08
comment_given_count,主动评论数,1.4316902170653692e-15
