特征集,模型,TopK,命中正样本数,Precision@K,Recall@K,Lift@K
核心精简特征,增强随机森林,100,81,0.81,0.17685589519650655,890.4305240174673
核心精简特征,增强随机森林,200,112,0.56,0.2445414847161572,615.606288209607
核心精简特征,增强随机森林,500,130,0.26,0.2838427947598253,285.81720524017464
核心精简特征,增强随机森林,1000,133,0.133,0.2903930131004367,146.20649344978165
核心精简特征,增强随机森林,2000,138,0.069,0.30131004366812225,75.85148908296944
核心精简特征,增强随机森林,5000,147,0.0294,0.32096069868995636,32.319330131004364
核心精简特征,CaseControl-ExtraTrees,100,83,0.83,0.1812227074235808,912.416462882096
核心精简特征,CaseControl-ExtraTrees,200,110,0.55,0.24017467248908297,604.6133187772926
核心精简特征,CaseControl-ExtraTrees,500,130,0.26,0.2838427947598253,285.81720524017464
核心精简特征,CaseControl-ExtraTrees,1000,137,0.137,0.29912663755458513,150.60368122270742
核心精简特征,CaseControl-ExtraTrees,2000,141,0.0705,0.3078602620087336,77.50043449781658
核心精简特征,CaseControl-ExtraTrees,5000,151,0.0302,0.3296943231441048,33.198767685589516
核心精简特征,CaseControl-HistGBDT,100,82,0.82,0.17903930131004367,901.4234934497815
核心精简特征,CaseControl-HistGBDT,200,111,0.555,0.2423580786026201,610.1098034934498
核心精简特征,CaseControl-HistGBDT,500,130,0.26,0.2838427947598253,285.81720524017464
核心精简特征,CaseControl-HistGBDT,1000,140,0.14,0.3056768558951965,153.90157205240175
核心精简特征,CaseControl-HistGBDT,2000,142,0.071,0.31004366812227074,78.05008296943231
核心精简特征,CaseControl-HistGBDT,5000,149,0.0298,0.32532751091703055,32.75904890829694
全量增强特征,增强随机森林,100,81,0.81,0.17685589519650655,890.4305240174673
全量增强特征,增强随机森林,200,111,0.555,0.2423580786026201,610.1098034934498
全量增强特征,增强随机森林,500,131,0.262,0.28602620087336245,288.01579912663755
全量增强特征,增强随机森林,1000,131,0.131,0.28602620087336245,144.00789956331877
全量增强特征,增强随机森林,2000,132,0.066,0.28820960698689957,72.55359825327511
全量增强特征,增强随机森林,5000,140,0.028,0.3056768558951965,30.780314410480347
全量增强特征,CaseControl-ExtraTrees,100,83,0.83,0.1812227074235808,912.416462882096
全量增强特征,CaseControl-ExtraTrees,200,111,0.555,0.2423580786026201,610.1098034934498
全量增强特征,CaseControl-ExtraTrees,500,130,0.26,0.2838427947598253,285.81720524017464
全量增强特征,CaseControl-ExtraTrees,1000,137,0.137,0.29912663755458513,150.60368122270742
全量增强特征,CaseControl-ExtraTrees,2000,142,0.071,0.31004366812227074,78.05008296943231
全量增强特征,CaseControl-ExtraTrees,5000,152,0.0304,0.3318777292576419,33.41862707423581
全量增强特征,CaseControl-HistGBDT,100,85,0.85,0.185589519650655,934.4024017467248
全量增强特征,CaseControl-HistGBDT,200,110,0.55,0.24017467248908297,604.6133187772926
全量增强特征,CaseControl-HistGBDT,500,132,0.264,0.28820960698689957,290.21439301310045
全量增强特征,CaseControl-HistGBDT,1000,138,0.138,0.30131004366812225,151.70297816593887
全量增强特征,CaseControl-HistGBDT,2000,143,0.0715,0.31222707423580787,78.59973144104802
全量增强特征,CaseControl-HistGBDT,5000,147,0.0294,0.32096069868995636,32.319330131004364
