特征集,模型,真实,预测,样本数
核心精简特征,增强随机森林,0,0,502932
核心精简特征,增强随机森林,0,1,88
核心精简特征,增强随机森林,1,0,346
核心精简特征,增强随机森林,1,1,112
核心精简特征,CaseControl-ExtraTrees,0,0,502931
核心精简特征,CaseControl-ExtraTrees,0,1,89
核心精简特征,CaseControl-ExtraTrees,1,0,350
核心精简特征,CaseControl-ExtraTrees,1,1,108
核心精简特征,CaseControl-HistGBDT,0,0,502888
核心精简特征,CaseControl-HistGBDT,0,1,132
核心精简特征,CaseControl-HistGBDT,1,0,338
核心精简特征,CaseControl-HistGBDT,1,1,120
全量增强特征,增强随机森林,0,0,502909
全量增强特征,增强随机森林,0,1,111
全量增强特征,增强随机森林,1,0,343
全量增强特征,增强随机森林,1,1,115
全量增强特征,CaseControl-ExtraTrees,0,0,502942
全量增强特征,CaseControl-ExtraTrees,0,1,78
全量增强特征,CaseControl-ExtraTrees,1,0,352
全量增强特征,CaseControl-ExtraTrees,1,1,106
全量增强特征,CaseControl-HistGBDT,0,0,502889
全量增强特征,CaseControl-HistGBDT,0,1,131
全量增强特征,CaseControl-HistGBDT,1,0,338
全量增强特征,CaseControl-HistGBDT,1,1,120
