特征集,模型,原始变量,中文含义,重要性
核心精简特征,增强随机森林,active_recency_score,活跃近因得分,0.12613135146830012
核心精简特征,增强随机森林,visit_recency_score,到店近因得分,0.121838650129208
核心精简特征,增强随机森林,pt_recency_score,私教购买近因得分,0.10455260897047182
核心精简特征,增强随机森林,pt_bought_before,历史是否买过私教,0.07844761094782045
核心精简特征,增强随机森林,pt_amount,私教消费金额,0.06770989193508972
核心精简特征,增强随机森林,pt_unit_price_est,私教单价估计,0.06241655029719557
核心精简特征,增强随机森林,pt_stickiness_score,私教消费粘性,0.06226712351312139
核心精简特征,增强随机森林,pt_sessions_bought,本期私教课时,0.04898224772357971
核心精简特征,增强随机森林,stay_hours_total,在馆时长,0.04366858430329291
核心精简特征,增强随机森林,A_score,线下活跃度得分,0.043286928305880566
核心精简特征,增强随机森林,calorie_total,运动消耗,0.04060102122177327
核心精简特征,增强随机森林,order_count,订单次数,0.035881754727336894
核心精简特征,增强随机森林,dte,剩余会员天数,0.030362574331123545
核心精简特征,增强随机森林,visit_count,到店次数,0.028917629659620876
核心精简特征,增强随机森林,order_amount_avg,平均客单价,0.023362386961937178
核心精简特征,增强随机森林,order_amount_total,订单总额,0.01898873447736091
核心精简特征,增强随机森林,current_member_type,当前会员类型,0.012568722207934552
核心精简特征,增强随机森林,member_amount,会员消费金额,0.011721262930463836
核心精简特征,增强随机森林,user_state,用户状态,0.010437834938412587
核心精简特征,增强随机森林,active_member,是否有效会员,0.009635094318314353
核心精简特征,增强随机森林,near_expiry_30,会员30天内到期,0.0035234246054138153
核心精简特征,增强随机森林,S_score,线上互动强度得分,0.003488892558017302
核心精简特征,增强随机森林,anaerobic_count,无氧训练次数,0.0033970393308321045
核心精简特征,增强随机森林,new_pt_strength_potential,新私教力量训练潜力,0.003005539555868504
核心精简特征,增强随机森林,strength_frequency_score,无氧频次得分,0.0029813134020374747
核心精简特征,增强随机森林,discount_order_ratio,优惠订单占比,0.0009069056576151966
核心精简特征,增强随机森林,strength_volume_score,无氧训练强度,0.00047222251966715594
核心精简特征,增强随机森林,anaerobic_volume,无氧训练量,0.00044609900231021537
核心精简特征,CaseControl-ExtraTrees,pt_bought_before,历史是否买过私教,0.3052110148777014
核心精简特征,CaseControl-ExtraTrees,pt_sessions_bought,本期私教课时,0.11188544016984525
核心精简特征,CaseControl-ExtraTrees,pt_recency_score,私教购买近因得分,0.07172054396435343
核心精简特征,CaseControl-ExtraTrees,order_count,订单次数,0.0690064497215487
核心精简特征,CaseControl-ExtraTrees,pt_unit_price_est,私教单价估计,0.06507470774575513
核心精简特征,CaseControl-ExtraTrees,visit_recency_score,到店近因得分,0.06113902035411016
核心精简特征,CaseControl-ExtraTrees,pt_amount,私教消费金额,0.05717840717957988
核心精简特征,CaseControl-ExtraTrees,active_recency_score,活跃近因得分,0.035089561749523185
核心精简特征,CaseControl-ExtraTrees,active_member,是否有效会员,0.02674246209990358
核心精简特征,CaseControl-ExtraTrees,user_state,用户状态,0.026455789319819022
核心精简特征,CaseControl-ExtraTrees,calorie_total,运动消耗,0.023453203596453316
核心精简特征,CaseControl-ExtraTrees,stay_hours_total,在馆时长,0.021044934554324567
核心精简特征,CaseControl-ExtraTrees,order_amount_avg,平均客单价,0.019097409625663475
核心精简特征,CaseControl-ExtraTrees,visit_count,到店次数,0.018466285088592153
核心精简特征,CaseControl-ExtraTrees,current_member_type,当前会员类型,0.016755806260096408
核心精简特征,CaseControl-ExtraTrees,order_amount_total,订单总额,0.015434342573150087
核心精简特征,CaseControl-ExtraTrees,dte,剩余会员天数,0.014483129312865264
核心精简特征,CaseControl-ExtraTrees,pt_stickiness_score,私教消费粘性,0.010478386006295089
核心精简特征,CaseControl-ExtraTrees,A_score,线下活跃度得分,0.00961544619653341
核心精简特征,CaseControl-ExtraTrees,member_amount,会员消费金额,0.008263041203501359
核心精简特征,CaseControl-ExtraTrees,near_expiry_30,会员30天内到期,0.0030285611600179884
核心精简特征,CaseControl-ExtraTrees,strength_frequency_score,无氧频次得分,0.002971438765503165
核心精简特征,CaseControl-ExtraTrees,anaerobic_count,无氧训练次数,0.00235402457901667
核心精简特征,CaseControl-ExtraTrees,new_pt_strength_potential,新私教力量训练潜力,0.002057051486044105
核心精简特征,CaseControl-ExtraTrees,discount_order_ratio,优惠订单占比,0.0014852730620183254
核心精简特征,CaseControl-ExtraTrees,S_score,线上互动强度得分,0.0007576221059581861
核心精简特征,CaseControl-ExtraTrees,strength_volume_score,无氧训练强度,0.000377302093740418
核心精简特征,CaseControl-ExtraTrees,anaerobic_volume,无氧训练量,0.0003733451480863472
全量增强特征,增强随机森林,visit_recency_score,到店近因得分,0.08063916559225222
全量增强特征,增强随机森林,active_recency_score,活跃近因得分,0.08015536697176134
全量增强特征,增强随机森林,buy_recency_score,购买近因得分,0.07125931817897316
全量增强特征,增强随机森林,pt_recency_score,私教购买近因得分,0.061552994191741615
全量增强特征,增强随机森林,pt_stickiness_score,私教消费粘性,0.05679121724349149
全量增强特征,增强随机森林,pt_amount,私教消费金额,0.05105187344956533
全量增强特征,增强随机森林,pt_bought_before,历史是否买过私教,0.05036669598344313
全量增强特征,增强随机森林,pt_sessions_bought,本期私教课时,0.04771838900133114
全量增强特征,增强随机森林,pt_session_stickiness_score,私教课时粘性,0.04297318426765359
全量增强特征,增强随机森林,pt_unit_price_est,私教单价估计,0.036445324791049415
全量增强特征,增强随机森林,stay_hours_total,在馆时长,0.030989160707617695
全量增强特征,增强随机森林,active_recent_score,近期活跃强度,0.029540432932238764
全量增强特征,增强随机森林,A_score,线下活跃度得分,0.02827812236488372
全量增强特征,增强随机森林,visit_recent_intensity,近期到店强度,0.02721006941777833
全量增强特征,增强随机森林,run_minutes_total,跑步时长,0.02679416543480354
全量增强特征,增强随机森林,calorie_total,运动消耗,0.024841582545824685
全量增强特征,增强随机森林,pt_private_amount,私教课包金额,0.02435704962211946
全量增强特征,增强随机森林,run_distance_total,跑步距离,0.02370291092210253
全量增强特征,增强随机森林,order_per_visit,到店购买频率,0.02083408837616991
全量增强特征,增强随机森林,dte,剩余会员天数,0.019369780509232173
全量增强特征,增强随机森林,pt_order_count,私教订单次数,0.01927653085573195
全量增强特征,增强随机森林,pt_share_amount,私教消费占比,0.019067696816603676
全量增强特征,增强随机森林,spend_per_visit,到店消费强度,0.017883673923592115
全量增强特征,增强随机森林,visit_count,到店次数,0.01713376664787653
全量增强特征,增强随机森林,order_count,订单次数,0.011892938140662066
全量增强特征,增强随机森林,current_member_type,当前会员类型,0.010090291070289512
全量增强特征,增强随机森林,order_amount_total,订单总额,0.009564566320042657
全量增强特征,增强随机森林,order_amount_avg,平均客单价,0.008992990388873266
全量增强特征,增强随机森林,valid_revenue_amount,有效收入金额,0.006944924584077865
全量增强特征,增强随机森林,active_member,是否有效会员,0.00658215446895923
全量增强特征,增强随机森林,member_share_amount,会员消费占比,0.006392139706652872
全量增强特征,增强随机森林,member_amount,会员消费金额,0.0053075657078225195
全量增强特征,增强随机森林,user_state,用户状态,0.00477335931014021
全量增强特征,增强随机森林,anaerobic_calorie_total,无氧消耗,0.003148366304539084
全量增强特征,增强随机森林,interact_recency_score,互动近因得分,0.002280161789013037
全量增强特征,增强随机森林,near_expiry_60,会员60天内到期,0.0022414968678194703
全量增强特征,增强随机森林,anaerobic_count,无氧训练次数,0.0018865926929140953
全量增强特征,增强随机森林,near_expiry_30,会员30天内到期,0.0018298629103818856
全量增强特征,增强随机森林,new_pt_strength_potential,新私教力量训练潜力,0.0016860700382026346
全量增强特征,增强随机森林,strength_frequency_score,无氧频次得分,0.0016463258898194782
全量增强特征,增强随机森林,expired_member_flag,会员已过期标记,0.0015312880769696544
全量增强特征,增强随机森林,member_order_count,会员订单次数,0.0013547938125415774
全量增强特征,增强随机森林,S_score,线上互动强度得分,0.001111645611271418
全量增强特征,增强随机森林,like_given_count,主动点赞数,0.0008273951996342535
全量增强特征,增强随机森林,discount_intensity,优惠消费强度,0.00034879636783052744
全量增强特征,增强随机森林,comment_given_count,主动评论数,0.0003021101581654405
全量增强特征,增强随机森林,discount_order_ratio,优惠订单占比,0.0002810677779748231
全量增强特征,增强随机森林,o2o_strength_score,线上线下联动强度,0.00027354818113084966
全量增强特征,增强随机森林,anaerobic_volume,无氧训练量,0.00026192209430819395
全量增强特征,增强随机森林,strength_volume_score,无氧训练强度,0.00017075618417500662
全量增强特征,增强随机森林,post_count,发帖数,3.1302835828198e-05
全量增强特征,增强随机森林,like_received_count,被点赞数,9.841359532296109e-06
全量增强特征,增强随机森林,comment_received_count,被评论数,3.1654025905609227e-06
全量增强特征,CaseControl-ExtraTrees,pt_bought_before,历史是否买过私教,0.2120104377487824
全量增强特征,CaseControl-ExtraTrees,pt_sessions_bought,本期私教课时,0.11533068464736532
全量增强特征,CaseControl-ExtraTrees,pt_order_count,私教订单次数,0.06783819061577726
全量增强特征,CaseControl-ExtraTrees,buy_recency_score,购买近因得分,0.06534358158504107
全量增强特征,CaseControl-ExtraTrees,order_per_visit,到店购买频率,0.05178662012391798
全量增强特征,CaseControl-ExtraTrees,pt_amount,私教消费金额,0.04823634280805576
全量增强特征,CaseControl-ExtraTrees,order_count,订单次数,0.037989831094682985
全量增强特征,CaseControl-ExtraTrees,pt_unit_price_est,私教单价估计,0.0335233690149568
全量增强特征,CaseControl-ExtraTrees,visit_recency_score,到店近因得分,0.03202638412307771
全量增强特征,CaseControl-ExtraTrees,pt_recency_score,私教购买近因得分,0.03083272605526974
全量增强特征,CaseControl-ExtraTrees,pt_session_stickiness_score,私教课时粘性,0.02415820518795046
全量增强特征,CaseControl-ExtraTrees,pt_private_amount,私教课包金额,0.022335096046364956
全量增强特征,CaseControl-ExtraTrees,active_recency_score,活跃近因得分,0.020485060509701926
全量增强特征,CaseControl-ExtraTrees,pt_share_amount,私教消费占比,0.01925259779374509
全量增强特征,CaseControl-ExtraTrees,active_member,是否有效会员,0.01854845246138345
全量增强特征,CaseControl-ExtraTrees,user_state,用户状态,0.017451771123689393
全量增强特征,CaseControl-ExtraTrees,current_member_type,当前会员类型,0.013750780679043617
全量增强特征,CaseControl-ExtraTrees,calorie_total,运动消耗,0.012987277146414563
全量增强特征,CaseControl-ExtraTrees,stay_hours_total,在馆时长,0.012782725154273672
全量增强特征,CaseControl-ExtraTrees,spend_per_visit,到店消费强度,0.012322237900813816
全量增强特征,CaseControl-ExtraTrees,run_minutes_total,跑步时长,0.011852836306942281
全量增强特征,CaseControl-ExtraTrees,visit_recent_intensity,近期到店强度,0.010248530467470799
全量增强特征,CaseControl-ExtraTrees,run_distance_total,跑步距离,0.009972052259992715
全量增强特征,CaseControl-ExtraTrees,visit_count,到店次数,0.009729678048970328
全量增强特征,CaseControl-ExtraTrees,pt_stickiness_score,私教消费粘性,0.00936252728307265
全量增强特征,CaseControl-ExtraTrees,valid_revenue_amount,有效收入金额,0.009120033066934544
全量增强特征,CaseControl-ExtraTrees,dte,剩余会员天数,0.008643699496222634
全量增强特征,CaseControl-ExtraTrees,order_amount_total,订单总额,0.007795667447502549
全量增强特征,CaseControl-ExtraTrees,order_amount_avg,平均客单价,0.007525178866075878
全量增强特征,CaseControl-ExtraTrees,member_share_amount,会员消费占比,0.006448275153695841
全量增强特征,CaseControl-ExtraTrees,A_score,线下活跃度得分,0.005503755564588681
全量增强特征,CaseControl-ExtraTrees,near_expiry_30,会员30天内到期,0.005409554810060484
全量增强特征,CaseControl-ExtraTrees,active_recent_score,近期活跃强度,0.005211259889639021
全量增强特征,CaseControl-ExtraTrees,expired_member_flag,会员已过期标记,0.004626945241746634
全量增强特征,CaseControl-ExtraTrees,member_amount,会员消费金额,0.003249447784980293
全量增强特征,CaseControl-ExtraTrees,near_expiry_60,会员60天内到期,0.0027521867498836406
全量增强特征,CaseControl-ExtraTrees,member_order_count,会员订单次数,0.002595104111694723
全量增强特征,CaseControl-ExtraTrees,anaerobic_calorie_total,无氧消耗,0.002592791891973245
全量增强特征,CaseControl-ExtraTrees,strength_frequency_score,无氧频次得分,0.0020151215729484616
全量增强特征,CaseControl-ExtraTrees,anaerobic_count,无氧训练次数,0.0016724723186514068
全量增强特征,CaseControl-ExtraTrees,new_pt_strength_potential,新私教力量训练潜力,0.001262782849149609
全量增强特征,CaseControl-ExtraTrees,discount_order_ratio,优惠订单占比,0.0008844572808035527
全量增强特征,CaseControl-ExtraTrees,discount_intensity,优惠消费强度,0.0007790220144402192
全量增强特征,CaseControl-ExtraTrees,like_given_count,主动点赞数,0.00044081577168475353
全量增强特征,CaseControl-ExtraTrees,S_score,线上互动强度得分,0.0003550669117859318
全量增强特征,CaseControl-ExtraTrees,strength_volume_score,无氧训练强度,0.0003256776442732798
全量增强特征,CaseControl-ExtraTrees,interact_recency_score,互动近因得分,0.0002524988517699745
全量增强特征,CaseControl-ExtraTrees,anaerobic_volume,无氧训练量,0.0001941293289772602
全量增强特征,CaseControl-ExtraTrees,post_count,发帖数,6.677872466943644e-05
全量增强特征,CaseControl-ExtraTrees,comment_given_count,主动评论数,6.598880730846936e-05
全量增强特征,CaseControl-ExtraTrees,o2o_strength_score,线上线下联动强度,4.686838498021425e-05
全量增强特征,CaseControl-ExtraTrees,like_received_count,被点赞数,6.423276802434736e-06
全量增强特征,CaseControl-ExtraTrees,comment_received_count,被评论数,0.0
