"Name","Path","Exists","Reason"
"5.3_Cox_H30_预测续费概率.csv","D:\yangky\数学建模\校内赛\模型输出结果\5.3_Cox_H30_预测续费概率.csv","True","逐行预测明细，论文不引用，体量大"
"5.3_状态增强随机森林与对比模型预测_H30.csv","D:\yangky\数学建模\校内赛\模型输出结果\5.3_状态增强随机森林与对比模型预测_H30.csv","True","逐行预测明细，论文不引用，体量大"
"5.3_状态增强随机森林与对比模型预测_H60.csv","D:\yangky\数学建模\校内赛\模型输出结果\5.3_状态增强随机森林与对比模型预测_H60.csv","True","逐行预测明细，论文不引用，体量大"
"5.3_图14_状态增强随机森林与对比模型概率分布_H30.png","D:\yangky\数学建模\校内赛\模型输出结果\5.3_图14_状态增强随机森林与对比模型概率分布_H30.png","True","非最新论文框架推荐图，保留指标对比和H30/H60稳健性图即可"
"5.3_图14_状态增强随机森林与对比模型概率分布_H60.png","D:\yangky\数学建模\校内赛\模型输出结果\5.3_图14_状态增强随机森林与对比模型概率分布_H60.png","True","非最新论文框架推荐图，保留指标对比和H30/H60稳健性图即可"
"5.3_图15_状态增强随机森林特征重要性Top15_H60.png","D:\yangky\数学建模\校内赛\模型输出结果\5.3_图15_状态增强随机森林特征重要性Top15_H60.png","True","论文主解释使用H30特征重要性，H60保留指标稳健性即可"
"5.3_状态增强随机森林特征重要性_H60.csv","D:\yangky\数学建模\校内赛\模型输出结果\5.3_状态增强随机森林特征重要性_H60.csv","True","论文主解释使用H30特征重要性，H60保留指标稳健性即可"
"5.4_私教购买模型测试集预测.csv","D:\yangky\数学建模\校内赛\模型输出结果\5.4_私教购买模型测试集预测.csv","True","旧版私教模型逐行预测明细，已由增强模型替代"
"5.4_私教购买模型对比结果.md","D:\yangky\数学建模\校内赛\模型输出结果\5.4_私教购买模型对比结果.md","True","旧版私教模型报告，最新论文口径使用增强模型"
"5.4_私教购买模型对比指标.csv","D:\yangky\数学建模\校内赛\模型输出结果\5.4_私教购买模型对比指标.csv","True","旧版私教模型指标，最新论文口径使用增强模型"
"5.4_私教购买模型混淆矩阵.csv","D:\yangky\数学建模\校内赛\模型输出结果\5.4_私教购买模型混淆矩阵.csv","True","旧版私教模型结果，最新论文口径使用增强模型"
"5.4_随机森林私教购买特征重要性.csv","D:\yangky\数学建模\校内赛\模型输出结果\5.4_随机森林私教购买特征重要性.csv","True","旧版私教模型特征重要性，最新论文口径使用增强模型"
"5.4_图1_私教购买模型指标对比.png","D:\yangky\数学建模\校内赛\模型输出结果\5.4_图1_私教购买模型指标对比.png","True","旧版私教模型图片，最新论文口径使用图4-图7"
"5.4_图2_私教购买模型PR曲线.png","D:\yangky\数学建模\校内赛\模型输出结果\5.4_图2_私教购买模型PR曲线.png","True","旧版私教模型图片，最新论文口径使用图4-图7"
"5.4_图3_随机森林私教购买特征重要性Top15.png","D:\yangky\数学建模\校内赛\模型输出结果\5.4_图3_随机森林私教购买特征重要性Top15.png","True","旧版私教模型图片，最新论文口径使用增强模型"
"5.4_私教购买增强模型测试集预测.csv","D:\yangky\数学建模\校内赛\模型输出结果\5.4_私教购买增强模型测试集预测.csv","True","增强模型逐行预测明细，论文只需要汇总指标、TopK、特征重要性和图表"
"5.6_观察窗口敏感性分析.csv","D:\yangky\数学建模\校内赛\模型输出结果\5.6_观察窗口敏感性分析.csv","True","早期观察窗口口径，已由多延期窗口灵敏度替代"
"5.6_观察窗口敏感性分析.md","D:\yangky\数学建模\校内赛\模型输出结果\5.6_观察窗口敏感性分析.md","True","早期观察窗口口径，已由多延期窗口灵敏度替代"
"5.6_长期效应观察方案.csv","D:\yangky\数学建模\校内赛\模型输出结果\5.6_长期效应观察方案.csv","True","早期长期效应口径，已由多延期窗口方案汇总替代"
"5.6_长期效应观察方案.md","D:\yangky\数学建模\校内赛\模型输出结果\5.6_长期效应观察方案.md","True","早期长期效应口径，已由多延期窗口方案汇总替代"
"compare_pt_purchase_models_30d.py","D:\yangky\数学建模\校内赛\模型输出结果\compare_pt_purchase_models_30d.py","True","旧版私教模型脚本，最新论文口径使用增强私教模型脚本"
"serf_renewal_h60_model.joblib","D:\yangky\数学建模\校内赛\模型输出结果\serf_renewal_h60_model.joblib","True","H60模型工件不参与策略模拟，保留H60指标和稳健性图即可"
"serf_renewal_h60_features.json","D:\yangky\数学建模\校内赛\模型输出结果\serf_renewal_h60_features.json","True","H60模型工件不参与策略模拟，保留H60指标和稳健性图即可"
"sensitivity_kappa_multi_delay_windows_rerun.err.log","D:\yangky\数学建模\校内赛\模型输出结果\sensitivity_kappa_multi_delay_windows_rerun.err.log","True","运行日志，不作为论文结果"
"sensitivity_kappa_multi_delay_windows_rerun.out.log","D:\yangky\数学建模\校内赛\模型输出结果\sensitivity_kappa_multi_delay_windows_rerun.out.log","True","运行日志，不作为论文结果"
